LATITUDE,LONGITUDE,STATION_NAME,LOCAL_DATE,LOCAL_YEAR,LOCAL_MONTH,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,TOTAL_SNOWFALL
51.449,-90.218,PICKLE LAKE (AUT),1976-01,1976,1,-21.864516129032257,33.8,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-02,1976,2,-14.817241379310344,27.6,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-03,1976,3,-12.574193548387097,63.0,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-04,1976,4,2.87,62.9,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-05,1976,5,8.432258064516128,17.4,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-06,1976,6,16.795652173913044,30.3,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-07,1976,7,18.59354838709677,73.2,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-08,1976,8,17.045161290322582,56.4,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-09,1976,9,9.796666666666669,84.7,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-10,1976,10,0.9903225806451612,50.7,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-11,1976,11,-9.48,34.7,0.0
51.449,-90.218,PICKLE LAKE (AUT),1976-12,1976,12,-24.63870967741936,34.8,0.0
51.449,-90.218,PICKLE LAKE (AUT),1977-01,1977,1,-22.61935483870968,19.9,0.0
51.449,-90.218,PICKLE LAKE (AUT),1977-02,1977,2,-15.625,68.1,0.0
51.449,-90.218,PICKLE LAKE (AUT),1977-03,1977,3,-5.583870967741936,16.3,0.0
51.449,-90.218,PICKLE LAKE (AUT),1977-04,1977,4,2.293333333333333,24.3,0.0
51.449,-90.218,PICKLE LAKE (AUT),1977-05,1977,5,14.025806451612905,87.3,0.0
51.449,-90.218,PICKLE LAKE (AUT),1977-06,1977,6,13.82,108.8,0.0
