x,y,LATITUDE,LONGITUDE,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,LAST_UPDATED,PROVINCE_CODE,ENG_PROVINCE_NAME,FRE_PROVINCE_NAME,LOCAL_YEAR,LOCAL_MONTH,NORMAL_MEAN_TEMPERATURE,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,NORMAL_PRECIPITATION,TOTAL_PRECIPITATION,DAYS_WITH_VALID_PRECIP,DAYS_WITH_PRECIP_GE_1MM,NORMAL_SNOWFALL,TOTAL_SNOWFALL,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,NORMAL_SUNSHINE,BRIGHT_SUNSHINE,DAYS_WITH_VALID_SUNSHINE,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1978.12,1978-12,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1978,12,,,0,,0,,0,,61.9,31,11,,29.9,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.1,1979-01,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,1,,,0,,0,,0,,73.4,31,12,,71.4,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.2,1979-02,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,2,,,0,,0,,0,,23,28,5,,14.2,28,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.3,1979-03,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,3,,,0,,0,,0,,45.9,31,11,,10.1,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.4,1979-04,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,4,,,0,,0,,0,,102.6,30,11,,23,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.5,1979-05,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,5,,,0,,0,,0,,113.2,31,15,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.6,1979-06,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,6,,,0,,0,,0,,54.5,30,10,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.7,1979-07,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,7,,,0,,0,,0,,41.1,31,7,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.8,1979-08,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,8,,,0,,0,,0,,83.2,31,11,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.9,1979-09,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,9,,,0,,0,,0,,30,30,6,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.10,1979-10,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,10,,,0,,0,,0,,139,31,12,,8,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.11,1979-11,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,11,,,0,,0,,0,,79.6,30,13,,25,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1979.12,1979-12,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1979,12,,,0,,0,,0,,39.8,31,10,,28.2,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.1,1980-01,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,1,,,0,,0,,0,,60.4,31,12,,18.8,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.2,1980-02,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,2,,,0,,0,,0,,23.6,29,6,,23.6,29,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.3,1980-03,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,3,,,0,,0,,0,,72,31,11,,36.4,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.4,1980-04,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,4,,,0,,0,,0,,103,30,12,,4,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.5,1980-05,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,5,,,0,,0,,0,,68.4,31,7,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.6,1980-06,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,6,,,0,,0,,0,,123,30,10,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.7,1980-07,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,7,,,0,,0,,0,,156.2,31,14,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.8,1980-08,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,8,,,0,,0,,0,,55.8,31,10,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.9,1980-09,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,9,,,0,,0,,0,,67.6,30,7,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.10,1980-10,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,10,,,0,,0,,0,,126.4,31,7,,14,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.11,1980-11,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,11,,,0,,0,,0,,35.6,30,8,,12.8,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1980.12,1980-12,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1980,12,,,0,,0,,0,,86,31,14,,67.6,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.1,1981-01,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,1,,,0,,0,,0,,11,31,4,,11,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.2,1981-02,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,2,,,0,,0,,0,,169.6,28,12,,31.8,28,2,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.3,1981-03,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,3,,,0,,0,,0,,59.8,31,11,,21,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.4,1981-04,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,4,,,0,,0,,0,,47.8,30,7,,1,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.5,1981-05,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,5,,,0,,0,,0,,59.6,31,8,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.6,1981-06,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,6,,,0,,0,,0,,83.8,30,11,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.7,1981-07,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,7,,,0,,0,,0,,132.2,31,9,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.8,1981-08,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,8,,,0,,0,,0,,107.9,31,11,,0,31,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.9,1981-09,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,9,,,0,,0,,0,,198.2,30,14,,0,30,,,,,,
-77.71666666666667,45.31666666666667,45.317,-77.717,PURDY,6106779,4356.1981.10,1981-10,2014-07-31 11:51:35,ON,ONTARIO,ONTARIO,1981,10,,,0,,0,,0,,73.4,31,12,,4.4,31,,,,,,
