OGF_ID,FIRE_DISTURBANCE_AREA_IDENT,FIRE_TYPE_CODE,FIRE_YEAR,FIRE_GENERAL_CAUSE_CODE,FIRE_RESPONSE_OBJ_CODE,FIRE_START_DATE,FIRE_OUT_DATE,FIRE_FINAL_SIZE,LOCATION_ACCURACY,BUSINESS_EFFECTIVE_DATE,GENERAL_COMMENTS,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
46000273,NIP53,IFR,2001,LTG,SUP,2001/06/09 00:00:00+00,2001/06/19 00:00:00+00,100,AC Accurate (to 10m),2002/04/01 00:00:00+00,Origin: GPS,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,1,0,0
46000274,NIP39,IFR,2001,LTG,SUP,2001/06/09 00:00:00+00,2001/06/18 00:00:00+00,56,AC Accurate (to 10m),2002/04/01 00:00:00+00,Origin: GPS,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,2,0,0
46000278,NIP52,IFR,2001,LTG,MON,2001/06/08 00:00:00+00,2001/06/20 00:00:00+00,200,RE Reliable (to 100m),2002/04/01 00:00:00+00,Origin: NTS50,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,3,0,0
46000280,NIP40,IFR,2001,LTG,MON,2001/06/09 00:00:00+00,2001/06/20 00:00:00+00,225,RE Reliable (to 100m),2002/04/01 00:00:00+00,Origin: NTS50,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,4,0,0
46000283,NIP35,IFR,2001,LTG,SUP,2001/06/09 00:00:00+00,2001/06/18 00:00:00+00,103,AC Accurate (to 10m),2002/04/01 00:00:00+00,Origin: GPS,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,6,0,0
46000287,NIP24,IFR,2001,LTG,SUP,2001/06/09 00:00:00+00,2001/06/18 00:00:00+00,85,AC Accurate (to 10m),2002/04/01 00:00:00+00,Origin: GPS,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,8,0,0
46000290,FOR2,IFR,2001,UNK,SUP,2001/04/29 00:00:00+00,2001/05/01 00:00:00+00,40,RE Reliable (to 100m),2002/04/01 00:00:00+00,Origin: NTS50,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,9,0,0
46000292,KLK2,IFR,2001,RES,SUP,2001/04/29 00:00:00+00,2001/05/02 00:00:00+00,45,AC Accurate (to 10m),2002/04/01 00:00:00+00,Origin: GPS,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,11,0,0
46000293,PEM3,IFR,2001,MIS,SUP,2001/04/25 00:00:00+00,2001/04/28 00:00:00+00,200,AC Accurate (to 10m),2002/04/01 00:00:00+00,Origin: GPS,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,12,0,0
46000295,GTA1,OFR,2001,MIS,SUP,2001/08/04 00:00:00+00,2001/08/17 00:00:00+00,70,AC Accurate (to 10m),2002/04/01 00:00:00+00,Origin: GPS,,2002/09/18 14:27:03+00,2005/04/28 08:50:30+00,13,0,0
